YYYY,MM,DD,DATE,CO2(ppm),SD(ppm),GR(ppm/yr),Source
1976,5,15,1976.368900000000,328.861,0.165,NaN,in situ
1976,6,15,1976.453600000000,328.988,0.285,NaN,in situ
1976,7,15,1976.535500000000,329.653,0.282,NaN,in situ
1976,8,15,1976.620200000000,330.55,0.201,NaN,in situ
1976,9,15,1976.704900000000,330.872,0.234,NaN,in situ
1976,10,15,1976.786900000000,330.899,0.015,NaN,in situ
1976,11,15,1976.871600000000,330.883,0.243,2.146,in situ
1976,12,15,1976.953600000000,330.677,0.187,2.51199,in situ
1977,1,15,1977.038400000000,330.529,0.235,2.14697,in situ
1977,2,15,1977.123300000000,330.543,0.198,1.77701,in situ
1977,3,15,1977.200000000000,330.724,0.119,2.06799,in situ
1977,4,15,1977.284900000000,330.805,0.178,2.13501,in situ
1977,5,15,1977.367100000000,331.007,0.132,1.89502,in situ
1977,6,15,1977.452100000000,331.5,0.203,1.70001,in situ
1977,7,15,1977.534200000000,331.8,0.206,1.565,in situ
1977,8,15,1977.619200000000,332.327,0.216,1.63199,in situ
1977,9,15,1977.704100000000,332.94,0.113,1.67401,in situ
1977,10,15,1977.786300000000,333.034,0.199,1.66901,in situ
1977,11,15,1977.871200000000,332.778,0.226,1.63901,in situ
1977,12,15,1977.953400000000,332.377,0.259,1.51501,in situ
1978,1,15,1978.038400000000,332.094,0.201,1.517,in situ
1978,2,15,1978.123300000000,332.175,0.245,1.599,in situ
1978,3,15,1978.200000000000,332.398,0.198,2.03699,in situ
1978,4,15,1978.284900000000,332.474,0.201,2.29901,in situ
1978,5,15,1978.367100000000,332.646,0.2,2.04797,in situ
1978,6,15,1978.452100000000,333.015,0.102,2.15399,in situ
1978,7,15,1978.534200000000,333.317,0.236,2.40399,in situ
1978,8,15,1978.619200000000,333.926,0.363,2.41,in situ
1978,9,15,1978.704100000000,334.977,0.387,2.36499,in situ
1978,10,15,1978.786300000000,335.333,0.203,2.229,in situ
1978,11,15,1978.871200000000,334.826,0.203,1.98001,in situ
1978,12,15,1978.953400000000,334.531,0.197,1.87399,in situ
1979,1,15,1979.038400000000,334.498,0.211,2.13501,in situ
1979,2,15,1979.123300000000,334.585,0.21,2.01001,in situ
1979,3,15,1979.200000000000,334.763,0.198,1.004,in situ
1979,4,15,1979.284900000000,334.703,0.217,0.645996,in situ
1979,5,15,1979.367100000000,334.626,0.177,1.14502,in situ
1979,6,15,1979.452100000000,334.889,0.197,1.202,in situ
1979,7,15,1979.534200000000,335.452,0.265,1.18002,in situ
1979,8,15,1979.619200000000,335.936,0.172,1.19302,in situ
1979,9,15,1979.704100000000,335.981,0.213,1.13501,in situ
1979,10,15,1979.786300000000,335.979,0.024,1.354,in situ
1979,11,15,1979.871200000000,335.971,0.215,1.55899,in situ
1979,12,15,1979.953400000000,335.733,0.242,1.64301,in situ
1980,1,15,1980.038300000000,335.678,0.204,1.478,in situ
1980,2,15,1980.123000000000,335.778,0.188,1.16,in situ
1980,3,15,1980.202200000000,335.898,0.179,1.20901,in situ
1980,4,15,1980.286900000000,336.057,0.179,1.13699,in situ
1980,5,15,1980.368900000000,336.185,0.201,0.96698,in situ
1980,6,15,1980.453600000000,336.532,0.229,1.18298,in situ
1980,7,15,1980.535500000000,336.93,0.222,1.41098,in situ
1980,8,15,1980.620200000000,337.096,0.17,1.452,in situ
1980,9,15,1980.704900000000,337.19,0.215,1.328,in situ
1980,10,15,1980.786900000000,337.116,0.201,1.117,in situ
1980,11,15,1980.871600000000,336.938,0.237,1.16101,in situ
1980,12,15,1980.953600000000,336.916,0.232,1.05499,in situ
1981,1,15,1981.038400000000,337.089,0.183,0.902008,in situ
1981,2,15,1981.123300000000,337.23,0.227,0.996979,in situ
1981,3,15,1981.200000000000,337.226,0.128,0.975006,in situ
1981,4,15,1981.284900000000,337.174,0.17,0.955994,in situ
1981,5,15,1981.367100000000,337.346,0.178,1.06201,in situ
1981,6,15,1981.452100000000,337.587,0.17,0.85202,in situ
1981,7,15,1981.534200000000,337.832,0.086,0.21701,in situ
1981,8,15,1981.619200000000,338.093,0.204,-0.102997,in situ
1981,9,15,1981.704100000000,338.165,0.21,0.0479736,in situ
1981,10,15,1981.786300000000,338.072,0.229,0.523987,in situ
1981,11,15,1981.871200000000,338,0.235,0.686005,in situ
1981,12,15,1981.953400000000,337.768,0.127,0.598999,in situ
1982,1,15,1982.038400000000,337.306,0.193,0.718994,in situ
1982,2,15,1982.123300000000,337.127,0.179,0.805023,in situ
1982,3,15,1982.200000000000,337.274,0.29,0.656982,in situ
1982,4,15,1982.284900000000,337.698,0.241,0.562012,in situ
1982,5,15,1982.367100000000,338.032,0.187,0.557007,in situ
1982,6,15,1982.452100000000,338.186,0.153,0.559998,in situ
1982,7,15,1982.534200000000,338.551,0.186,1.00101,in situ
1982,8,15,1982.619200000000,338.898,0.153,1.29999,in situ
1982,9,15,1982.704100000000,338.822,0.213,1.24503,in situ
1982,10,15,1982.786300000000,338.634,0.195,1.41699,in situ
1982,11,15,1982.871200000000,338.557,0.163,1.5,in situ
1982,12,15,1982.953400000000,338.328,0.171,1.41501,in situ
1983,1,15,1983.038400000000,338.307,0.17,1.78702,in situ
1983,2,15,1983.123300000000,338.427,0.184,2.306,in situ
1983,3,15,1983.200000000000,338.519,0.186,2.53201,in situ
1983,4,15,1983.284900000000,339.115,0.241,2.62299,in situ
1983,5,15,1983.367100000000,339.532,0.141,2.73898,in situ
1983,6,15,1983.452100000000,339.601,0.156,2.979,in situ
1983,7,15,1983.534200000000,340.338,0.446,2.966,in situ
1983,8,15,1983.619200000000,341.204,0.237,2.84399,in situ
1983,9,15,1983.704100000000,341.354,0.163,2.72299,in situ
1983,10,15,1983.786300000000,341.257,0.18,2.117,in situ
1983,11,15,1983.871200000000,341.296,0.155,1.858,in situ
1983,12,15,1983.953400000000,341.307,0.111,2.01898,in situ
1984,1,15,1984.038300000000,341.273,0.11,1.59698,in situ
1984,2,15,1984.123000000000,341.271,0.122,1.155,in situ
1984,3,15,1984.202200000000,341.242,0.114,1.15399,in situ
1984,4,15,1984.286900000000,341.232,0.138,1.215,in situ
1984,5,15,1984.368900000000,341.39,0.129,1.13,in situ
1984,6,15,1984.453600000000,341.62,0.163,1.035,in situ
1984,7,15,1984.535500000000,341.935,0.166,1.056,in situ
1984,8,15,1984.620200000000,342.359,0.158,1.01801,in situ
1984,9,15,1984.704900000000,342.508,0.145,1.077,in situ
1984,10,15,1984.786900000000,342.472,0.173,1.25601,in situ
1984,11,15,1984.871600000000,342.426,0.171,1.37799,in situ
1984,12,15,1984.953600000000,342.342,0.154,1.539,in situ
1985,1,15,1985.038400000000,342.329,0.142,1.72101,in situ
1985,2,15,1985.123300000000,342.289,0.101,1.70999,in situ
1985,3,15,1985.200000000000,342.319,0.124,1.689,in situ
1985,4,15,1985.284900000000,342.488,0.145,1.72302,in situ
1985,5,15,1985.367100000000,342.768,0.153,1.51901,in situ
1985,6,15,1985.452100000000,343.159,0.177,1.36798,in situ
1985,7,15,1985.534200000000,343.656,0.195,1.38599,in situ
1985,8,15,1985.619200000000,344.069,0.151,1.452,in situ
1985,9,15,1985.704100000000,344.197,0.149,1.44601,in situ
1985,10,15,1985.786300000000,344.195,0.184,1.29599,in situ
1985,11,15,1985.871200000000,343.945,0.211,1.14899,in situ
1985,12,15,1985.953400000000,343.71,0.175,1.077,in situ
1986,1,15,1986.038400000000,343.715,0.157,1.02899,in situ
1986,2,15,1986.123300000000,343.741,0.098,0.988007,in situ
1986,3,15,1986.200000000000,343.765,0.115,1.04001,in situ
1986,4,15,1986.284900000000,343.784,0.143,1.112,in situ
1986,5,15,1986.367100000000,343.917,0.166,1.25998,in situ
1986,6,15,1986.452100000000,344.236,0.188,1.245,in situ
1986,7,15,1986.534200000000,344.685,0.199,1.00201,in situ
1986,8,15,1986.619200000000,345.057,0.161,0.960999,in situ
1986,9,15,1986.704100000000,345.237,0.16,1.09299,in situ
1986,10,15,1986.786300000000,345.307,0.125,1.26901,in situ
1986,11,15,1986.871200000000,345.205,0.184,1.52499,in situ
1986,12,15,1986.953400000000,344.955,0.167,1.76901,in situ
1987,1,15,1987.038400000000,344.717,0.151,1.78699,in situ
1987,2,15,1987.123300000000,344.702,0.098,1.90799,in situ
1987,3,15,1987.200000000000,344.858,0.133,2.01999,in situ
1987,4,15,1987.284900000000,345.053,0.135,1.996,in situ
1987,5,15,1987.367100000000,345.442,0.188,2.20102,in situ
1987,6,15,1987.452100000000,346.005,0.215,2.45001,in situ
1987,7,15,1987.534200000000,346.472,0.164,2.63998,in situ
1987,8,15,1987.619200000000,346.965,0.21,2.66602,in situ
1987,9,15,1987.704100000000,347.257,0.17,2.57001,in situ
1987,10,15,1987.786300000000,347.303,0.175,2.55399,in situ
1987,11,15,1987.871200000000,347.406,0.101,2.37003,in situ
1987,12,15,1987.953400000000,347.405,0.137,2.24701,in situ
1988,1,15,1988.038300000000,347.357,0.16,2.44,in situ
1988,2,15,1988.123000000000,347.368,0.163,2.19101,in situ
1988,3,15,1988.202200000000,347.428,0.116,1.79401,in situ
1988,4,15,1988.286900000000,347.607,0.186,1.64499,in situ
1988,5,15,1988.368900000000,347.812,0.147,1.466,in situ
1988,6,15,1988.453600000000,348.252,0.256,1.427,in situ
1988,7,15,1988.535500000000,348.912,0.216,1.36002,in situ
1988,8,15,1988.620200000000,349.156,0.142,1.388,in situ
1988,9,15,1988.704900000000,349.051,0.097,1.548,in situ
1988,10,15,1988.786900000000,348.948,0.139,1.44901,in situ
1988,11,15,1988.871600000000,348.872,0.126,1.25299,in situ
1988,12,15,1988.953600000000,348.832,0.146,1.04498,in situ
1989,1,15,1989.038400000000,348.717,0.122,0.77002,in situ
1989,2,15,1989.123300000000,348.756,0.152,0.890991,in situ
1989,3,15,1989.200000000000,348.976,0.154,1.17099,in situ
1989,4,15,1989.284900000000,349.056,0.085,1.19901,in situ
1989,5,15,1989.367100000000,349.065,0.122,1.19998,in situ
1989,6,15,1989.452100000000,349.297,0.2,1.134,in situ
1989,7,15,1989.534200000000,349.682,0.133,1.13199,in situ
1989,8,15,1989.619200000000,350.047,0.156,1.138,in situ
1989,9,15,1989.704100000000,350.222,0.115,1.07898,in situ
1989,10,15,1989.786300000000,350.147,0.173,1.29401,in situ
1989,11,15,1989.871200000000,350.072,0.111,1.547,in situ
1989,12,15,1989.953400000000,349.966,0.13,1.595,in situ
1990,1,15,1990.038400000000,349.849,0.128,1.69199,in situ
1990,2,15,1990.123300000000,349.894,0.104,1.689,in situ
1990,3,15,1990.200000000000,350.055,0.142,1.55103,in situ
1990,4,15,1990.284900000000,350.35,0.166,1.63699,in situ
1990,5,15,1990.367100000000,350.612,0.234,1.73602,in situ
1990,6,15,1990.452100000000,350.892,0.169,1.64801,in situ
1990,7,15,1990.534200000000,351.374,0.179,1.60501,in situ
1990,8,15,1990.619200000000,351.736,0.157,1.65698,in situ
1990,9,15,1990.704100000000,351.773,0.154,1.64999,in situ
1990,10,15,1990.786300000000,351.784,0.139,1.52899,in situ
1990,11,15,1990.871200000000,351.808,0.129,1.67099,in situ
